Date,Instagram_Minutes,YouTube_Minutes,WhatsApp_Minutes,LinkedIn_Minutes,Reels_Watched,Videos_Watched,Messages_Sent,Posts_Liked,Study_Minutes
2026-08-22,158,120,84,10,188,21,140,55,179
2026-08-23,78,251,112,19,84,48,314,54,49
2026-08-24,107,30,58,16,70,13,174,42,58
2026-08-25,82,43,174,17,52,17,336,30,319
2026-08-26,70,145,142,43,66,60,383,37,338
2026-08-27,112,80,17,46,124,33,36,42,320
2026-08-28,93,124,27,32,114,32,57,68,299
2026-08-29,110,185,38,28,93,74,116,30,51
2026-08-30,165,268,85,2,125,81,179,34,69
2026-08-31,52,208,37,45,41,45,123,8,229
2026-09-01,94,55,146,54,102,21,474,62,319
2026-09-02,171,37,108,34,139,15,250,38,185
2026-09-03,125,101,35,65,135,43,62,73,78
2026-09-04,171,120,38,8,124,34,122,75,245
2026-09-05,64,169,12,10,57,65,35,27,25
2026-09-06,117,206,79,12,136,40,137,45,40
2026-09-07,69,147,112,26,49,64,373,33,338
2026-09-08,101,198,91,35,117,83,299,28,231
2026-09-09,157,58,98,62,189,22,224,61,348
2026-09-10,125,197,129,14,126,33,331,32,196
2026-09-11,180,174,87,26,242,67,262,49,202
2026-09-12,142,80,59,5,103,28,110,23,65
2026-09-13,218,255,84,19,299,85,217,152,85
2026-09-14,80,198,40,30,109,72,86,50,134
2026-09-15,157,59,46,64,142,11,102,96,206
2026-09-16,92,41,146,66,94,8,414,32,169
2026-09-17,22,128,74,5,21,34,211,9,273
2026-09-18,101,180,125,52,65,57,219,35,58
2026-09-19,100,164,40,7,106,45,68,37,14
2026-09-20,128,228,102,21,171,43,238,41,106
